route_id,bus_id,capacity,passengers,time_slot,trip_number,date
Bopal - Shivranjani,GZ01B6202,50,42,12:00,AMTS10024,2026-04-10
Bopal - Shivranjani,GZ01B5971,50,40,10:00,AMTS10025,2026-04-10
Iskcon - Naroda,GZ01B7968,80,44,7:00,AMTS10026,2026-04-10
Bopal - Shivranjani,GZ01B1193,50,30,13:00,AMTS10027,2026-04-10
Iskcon - Naroda,GZ01B4239,80,57,7:00,AMTS10028,2026-04-10
Zundal - Visat,GZ01B2875,50,56,8:00,AMTS10029,2026-04-10
Zundal - Visat,GZ01B2032,50,77,17:00,AMTS10030,2026-04-10
Narol - Naroda,GZ01B7473,50,8,14:00,AMTS10031,2026-04-10
Bopal - Shivranjani,GZ01B7890,50,39,14:00,AMTS10032,2026-04-10
Bopal - Shivranjani,GZ01B9569,50,21,6:00,AMTS10033,2026-04-10
Zundal - Visat,GZ01B4487,50,19,11:00,AMTS10034,2026-04-10
Zundal - Visat,GZ01B8087,50,57,10:00,AMTS10035,2026-04-10
Bopal - Shivranjani,GZ01B5977,50,68,8:00,AMTS10036,2026-04-10
Bopal - Shivranjani,GZ01B3064,50,35,15:00,AMTS10037,2026-04-10
Iskcon - Naroda,GZ01B5605,80,104,18:00,AMTS10038,2026-04-10
Zundal - Visat,GZ01B5326,50,54,17:00,AMTS10039,2026-04-10
Narol - Naroda,GZ01B4917,50,5,6:00,AMTS10040,2026-04-10
Bopal - Shivranjani,GZ01B2191,50,18,15:00,AMTS10041,2026-04-10
Iskcon - Naroda,GZ01B4158,80,39,15:00,AMTS10042,2026-04-10
Bopal - Shivranjani,GZ01B5071,50,53,18:00,AMTS10043,2026-04-10
Bopal - Shivranjani,GZ01B3452,50,29,14:00,AMTS10044,2026-04-10
RTO - Maninagar,GZ01B7326,80,47,15:00,AMTS10045,2026-04-10
Narol - Naroda,GZ01B2924,50,21,8:00,AMTS10046,2026-04-10
Narol - Naroda,GZ01B8159,50,5,21:00,AMTS10047,2026-04-10
Iskcon - Naroda,GZ01B2267,80,66,16:00,AMTS10048,2026-04-10
Bopal - Shivranjani,GZ01B2460,50,35,21:00,AMTS10049,2026-04-10
RTO - Maninagar,GZ01B4363,80,37,15:00,AMTS10050,2026-04-10
RTO - Maninagar,GZ01B3301,80,104,18:00,AMTS10051,2026-04-10
RTO - Maninagar,GZ01B6067,80,49,12:00,AMTS10052,2026-04-10
Bopal - Shivranjani,GZ01B4465,50,41,14:00,AMTS10053,2026-04-10
Iskcon - Naroda,GZ01B3391,80,69,6:00,AMTS10054,2026-04-10
Narol - Naroda,GZ01B7635,50,35,10:00,AMTS10055,2026-04-10
Zundal - Visat,GZ01B7939,50,31,14:00,AMTS10056,2026-04-10
Narol - Naroda,GZ01B4547,50,31,17:00,AMTS10057,2026-04-10
Zundal - Visat,GZ01B8735,50,72,19:00,AMTS10058,2026-04-10
Zundal - Visat,GZ01B9045,50,25,21:00,AMTS10059,2026-04-10
RTO - Maninagar,GZ01B2489,80,98,18:00,AMTS10060,2026-04-10
Zundal - Visat,GZ01B5951,50,40,16:00,AMTS10061,2026-04-10
Iskcon - Naroda,GZ01B2529,80,109,19:00,AMTS10062,2026-04-10
Iskcon - Naroda,GZ01B4440,80,106,10:00,AMTS10063,2026-04-10
Iskcon - Naroda,GZ01B9685,80,101,8:00,AMTS10064,2026-04-10
Bopal - Shivranjani,GZ01B3323,50,78,8:00,AMTS10065,2026-04-10
RTO - Maninagar,GZ01B8594,80,46,11:00,AMTS10066,2026-04-10
Bopal - Shivranjani,GZ01B5005,50,16,20:00,AMTS10067,2026-04-10
Zundal - Visat,GZ01B7056,50,60,18:00,AMTS10068,2026-04-10
Zundal - Visat,GZ01B8991,50,37,15:00,AMTS10069,2026-04-10
Zundal - Visat,GZ01B2070,50,64,8:00,AMTS10070,2026-04-10
Iskcon - Naroda,GZ01B9149,80,50,14:00,AMTS10071,2026-04-10
RTO - Maninagar,GZ01B1811,80,66,7:00,AMTS10072,2026-04-10
RTO - Maninagar,GZ01B6675,80,106,10:00,AMTS10073,2026-04-10
Iskcon - Naroda,GZ01B1915,80,56,12:00,AMTS10074,2026-04-10
Bopal - Shivranjani,GZ01B4065,50,20,15:00,AMTS10075,2026-04-10
Iskcon - Naroda,GZ01B5616,80,31,20:00,AMTS10076,2026-04-10
RTO - Maninagar,GZ01B8806,80,67,13:00,AMTS10077,2026-04-10
Iskcon - Naroda,GZ01B8482,80,94,9:00,AMTS10078,2026-04-10
Narol - Naroda,GZ01B3129,50,17,14:00,AMTS10079,2026-04-10
Narol - Naroda,GZ01B3266,50,17,20:00,AMTS10080,2026-04-10
Narol - Naroda,GZ01B3471,50,15,11:00,AMTS10081,2026-04-10
Zundal - Visat,GZ01B6679,50,36,15:00,AMTS10082,2026-04-10
Narol - Naroda,GZ01B6689,50,31,18:00,AMTS10083,2026-04-10
Zundal - Visat,GZ01B3315,50,21,14:00,AMTS10084,2026-04-10
Iskcon - Naroda,GZ01B2596,80,37,12:00,AMTS10085,2026-04-10
Bopal - Shivranjani,GZ01B6753,50,20,15:00,AMTS10086,2026-04-10
RTO - Maninagar,GZ01B6790,80,40,15:00,AMTS10087,2026-04-10
RTO - Maninagar,GZ01B1471,80,38,20:00,AMTS10088,2026-04-10
Iskcon - Naroda,GZ01B5174,80,53,12:00,AMTS10089,2026-04-10
RTO - Maninagar,GZ01B8765,80,70,20:00,AMTS10090,2026-04-10
Bopal - Shivranjani,GZ01B9136,50,46,18:00,AMTS10091,2026-04-10
RTO - Maninagar,GZ01B4097,80,50,13:00,AMTS10092,2026-04-10
Narol - Naroda,GZ01B8665,50,14,11:00,AMTS10093,2026-04-10
Iskcon - Naroda,GZ01B2526,80,65,16:00,AMTS10094,2026-04-10
Zundal - Visat,GZ01B9450,50,18,14:00,AMTS10095,2026-04-10
Bopal - Shivranjani,GZ01B3715,50,41,21:00,AMTS10096,2026-04-10
Zundal - Visat,GZ01B4669,50,51,9:00,AMTS10097,2026-04-10
RTO - Maninagar,GZ01B8701,80,41,20:00,AMTS10098,2026-04-10
Bopal - Shivranjani,GZ01B4914,50,49,9:00,AMTS10099,2026-04-10
Zundal - Visat,GZ01B9163,50,18,21:00,AMTS10100,2026-04-10
Bopal - Shivranjani,GZ01B5611,50,60,17:00,AMTS10101,2026-04-10
Iskcon - Naroda,GZ01B6148,80,110,17:00,AMTS10102,2026-04-10
Bopal - Shivranjani,GZ01B9535,50,21,13:00,AMTS10103,2026-04-10
Iskcon - Naroda,GZ01B6114,80,36,16:00,AMTS10104,2026-04-10
Narol - Naroda,GZ01B5712,50,33,9:00,AMTS10105,2026-04-10
Iskcon - Naroda,GZ01B3985,80,34,11:00,AMTS10106,2026-04-10
RTO - Maninagar,GZ01B8949,80,67,13:00,AMTS10107,2026-04-10
Iskcon - Naroda,GZ01B6430,80,104,18:00,AMTS10108,2026-04-10
Narol - Naroda,GZ01B1339,50,16,7:00,AMTS10109,2026-04-10
Narol - Naroda,GZ01B8425,50,11,11:00,AMTS10110,2026-04-10
Narol - Naroda,GZ01B3889,50,13,20:00,AMTS10111,2026-04-10
Narol - Naroda,GZ01B9523,50,20,14:00,AMTS10112,2026-04-10
Narol - Naroda,GZ01B4267,50,27,17:00,AMTS10113,2026-04-10
Bopal - Shivranjani,GZ01B1999,50,45,16:00,AMTS10114,2026-04-10
Bopal - Shivranjani,GZ01B5962,50,16,21:00,AMTS10115,2026-04-10
Iskcon - Naroda,GZ01B3025,80,102,8:00,AMTS10116,2026-04-10
Zundal - Visat,GZ01B7371,50,18,12:00,AMTS10117,2026-04-10
Bopal - Shivranjani,GZ01B2935,50,28,20:00,AMTS10118,2026-04-10
RTO - Maninagar,GZ01B3762,80,96,8:00,AMTS10119,2026-04-10
Iskcon - Naroda,GZ01B6870,80,107,9:00,AMTS10120,2026-04-10
Bopal - Shivranjani,GZ01B6834,50,27,16:00,AMTS10121,2026-04-10
RTO - Maninagar,GZ01B9552,80,101,18:00,AMTS10122,2026-04-10
Bopal - Shivranjani,GZ01B5714,50,44,7:00,AMTS10123,2026-04-10
Iskcon - Naroda,GZ01B4885,80,109,8:00,AMTS10124,2026-04-10
Zundal - Visat,GZ01B3169,50,46,8:00,AMTS10125,2026-04-10
Narol - Naroda,GZ01B4965,50,6,20:00,AMTS10126,2026-04-10
Bopal - Shivranjani,GZ01B8737,50,80,19:00,AMTS10127,2026-04-10
Iskcon - Naroda,GZ01B9520,80,110,17:00,AMTS10128,2026-04-10
Iskcon - Naroda,GZ01B5938,80,99,18:00,AMTS10129,2026-04-10
Bopal - Shivranjani,GZ01B9261,50,37,7:00,AMTS10130,2026-04-10
Narol - Naroda,GZ01B4261,50,17,13:00,AMTS10131,2026-04-10
Narol - Naroda,GZ01B6905,50,22,19:00,AMTS10132,2026-04-10
Bopal - Shivranjani,GZ01B1997,50,28,6:00,AMTS10133,2026-04-10
Narol - Naroda,GZ01B7499,50,23,18:00,AMTS10134,2026-04-10
Narol - Naroda,GZ01B3341,50,22,10:00,AMTS10135,2026-04-10
Bopal - Shivranjani,GZ01B4478,50,30,16:00,AMTS10136,2026-04-10
Zundal - Visat,GZ01B4994,50,57,18:00,AMTS10137,2026-04-10
RTO - Maninagar,GZ01B3051,80,60,15:00,AMTS10138,2026-04-10
Zundal - Visat,GZ01B7267,50,37,12:00,AMTS10139,2026-04-10
Narol - Naroda,GZ01B3782,50,14,14:00,AMTS10140,2026-04-10
Bopal - Shivranjani,GZ01B8881,50,43,9:00,AMTS10141,2026-04-10
RTO - Maninagar,GZ01B4994,80,107,17:00,AMTS10142,2026-04-10
Iskcon - Naroda,GZ01B1880,80,63,15:00,AMTS10143,2026-04-10
Bopal - Shivranjani,GZ01B4596,50,47,18:00,AMTS10144,2026-04-10
RTO - Maninagar,GZ01B7629,80,68,14:00,AMTS10145,2026-04-10
Narol - Naroda,GZ01B4161,50,32,8:00,AMTS10146,2026-04-10
Zundal - Visat,GZ01B5911,50,21,7:00,AMTS10147,2026-04-10
Zundal - Visat,GZ01B9468,50,74,17:00,AMTS10148,2026-04-10
Iskcon - Naroda,GZ01B7554,80,39,14:00,AMTS10149,2026-04-10
Bopal - Shivranjani,GZ01B9560,50,18,21:00,AMTS10150,2026-04-10
Zundal - Visat,GZ01B8475,50,28,16:00,AMTS10151,2026-04-10
Narol - Naroda,GZ01B6347,50,5,12:00,AMTS10152,2026-04-10
Bopal - Shivranjani,GZ01B7246,50,34,20:00,AMTS10153,2026-04-10
Bopal - Shivranjani,GZ01B3453,50,77,9:00,AMTS10154,2026-04-10
Narol - Naroda,GZ01B9632,50,33,9:00,AMTS10155,2026-04-10
Narol - Naroda,GZ01B9808,50,25,10:00,AMTS10156,2026-04-10
Zundal - Visat,GZ01B2635,50,15,6:00,AMTS10157,2026-04-10
RTO - Maninagar,GZ01B3707,80,37,14:00,AMTS10158,2026-04-10
Bopal - Shivranjani,GZ01B5205,50,43,6:00,AMTS10159,2026-04-10
Bopal - Shivranjani,GZ01B4007,50,73,8:00,AMTS10160,2026-04-10
RTO - Maninagar,GZ01B5242,80,56,11:00,AMTS10161,2026-04-10
Narol - Naroda,GZ01B4983,50,36,8:00,AMTS10162,2026-04-10
Zundal - Visat,GZ01B7952,50,31,13:00,AMTS10163,2026-04-10
Narol - Naroda,GZ01B4391,50,9,15:00,AMTS10164,2026-04-10
RTO - Maninagar,GZ01B5383,80,57,14:00,AMTS10165,2026-04-10
Iskcon - Naroda,GZ01B2320,80,98,18:00,AMTS10166,2026-04-10
Zundal - Visat,GZ01B8274,50,57,17:00,AMTS10167,2026-04-10
Narol - Naroda,GZ01B3480,50,9,20:00,AMTS10168,2026-04-10
Zundal - Visat,GZ01B6938,50,56,17:00,AMTS10169,2026-04-10
Bopal - Shivranjani,GZ01B4270,50,34,7:00,AMTS10170,2026-04-10
Iskcon - Naroda,GZ01B7912,80,110,8:00,AMTS10171,2026-04-10
Narol - Naroda,GZ01B6395,50,5,6:00,AMTS10172,2026-04-10
Narol - Naroda,GZ01B4077,50,17,6:00,AMTS10173,2026-04-10
Iskcon - Naroda,GZ01B9632,80,100,8:00,AMTS10174,2026-04-10
Zundal - Visat,GZ01B1432,50,23,13:00,AMTS10175,2026-04-10
Narol - Naroda,GZ01B2595,50,17,6:00,AMTS10176,2026-04-10
Iskcon - Naroda,GZ01B6236,80,101,9:00,AMTS10177,2026-04-10
Narol - Naroda,GZ01B5145,50,8,12:00,AMTS10178,2026-04-10
Narol - Naroda,GZ01B9695,50,18,12:00,AMTS10179,2026-04-10
Iskcon - Naroda,GZ01B9433,80,101,17:00,AMTS10180,2026-04-10
RTO - Maninagar,GZ01B4204,80,47,14:00,AMTS10181,2026-04-10
Zundal - Visat,GZ01B3931,50,16,20:00,AMTS10182,2026-04-10
RTO - Maninagar,GZ01B5942,80,47,20:00,AMTS10183,2026-04-10
Zundal - Visat,GZ01B5509,50,74,8:00,AMTS10184,2026-04-10
Bopal - Shivranjani,GZ01B4595,50,44,6:00,AMTS10185,2026-04-10
RTO - Maninagar,GZ01B8524,80,38,20:00,AMTS10186,2026-04-10
Bopal - Shivranjani,GZ01B6925,50,67,19:00,AMTS10187,2026-04-10
RTO - Maninagar,GZ01B9535,80,97,8:00,AMTS10188,2026-04-10
Zundal - Visat,GZ01B4413,50,19,20:00,AMTS10189,2026-04-10
Bopal - Shivranjani,GZ01B8170,50,31,16:00,AMTS10190,2026-04-10
Zundal - Visat,GZ01B3998,50,19,13:00,AMTS10191,2026-04-10
Iskcon - Naroda,GZ01B7938,80,103,10:00,AMTS10192,2026-04-10
Narol - Naroda,GZ01B9661,50,20,13:00,AMTS10193,2026-04-10
Narol - Naroda,GZ01B5847,50,21,19:00,AMTS10194,2026-04-10
RTO - Maninagar,GZ01B9218,80,42,7:00,AMTS10195,2026-04-10
Iskcon - Naroda,GZ01B4211,80,61,14:00,AMTS10196,2026-04-10
Bopal - Shivranjani,GZ01B1198,50,28,6:00,AMTS10197,2026-04-10
Narol - Naroda,GZ01B6451,50,9,20:00,AMTS10198,2026-04-10
Zundal - Visat,GZ01B6111,50,29,15:00,AMTS10199,2026-04-10
Iskcon - Naroda,GZ01B2518,80,96,8:00,AMTS10200,2026-04-10
Iskcon - Naroda,GZ01B1243,80,54,20:00,AMTS10201,2026-04-10
RTO - Maninagar,GZ01B9042,80,44,14:00,AMTS10202,2026-04-10
Zundal - Visat,GZ01B7069,50,69,9:00,AMTS10203,2026-04-10
Iskcon - Naroda,GZ01B4380,80,108,10:00,AMTS10204,2026-04-10
Narol - Naroda,GZ01B9408,50,37,17:00,AMTS10205,2026-04-10
Zundal - Visat,GZ01B6423,50,76,17:00,AMTS10206,2026-04-10
Zundal - Visat,GZ01B9851,50,70,18:00,AMTS10207,2026-04-10
Zundal - Visat,GZ01B1247,50,51,18:00,AMTS10208,2026-04-10
Bopal - Shivranjani,GZ01B3973,50,27,20:00,AMTS10209,2026-04-10
Bopal - Shivranjani,GZ01B2031,50,28,21:00,AMTS10210,2026-04-10
Zundal - Visat,GZ01B4282,50,36,21:00,AMTS10211,2026-04-10
Iskcon - Naroda,GZ01B5776,80,56,20:00,AMTS10212,2026-04-10
Bopal - Shivranjani,GZ01B7585,50,80,8:00,AMTS10213,2026-04-10
RTO - Maninagar,GZ01B7768,80,63,21:00,AMTS10214,2026-04-10
Bopal - Shivranjani,GZ01B2517,50,27,12:00,AMTS10215,2026-04-10
Iskcon - Naroda,GZ01B1478,80,63,12:00,AMTS10216,2026-04-10
Zundal - Visat,GZ01B1658,50,15,13:00,AMTS10217,2026-04-10
RTO - Maninagar,GZ01B8813,80,106,19:00,AMTS10218,2026-04-10
RTO - Maninagar,GZ01B1631,80,39,6:00,AMTS10219,2026-04-10
Narol - Naroda,GZ01B4213,50,35,17:00,AMTS10220,2026-04-10
RTO - Maninagar,GZ01B5549,80,95,19:00,AMTS10221,2026-04-10
RTO - Maninagar,GZ01B1311,80,104,17:00,AMTS10222,2026-04-10
Iskcon - Naroda,GZ01B5143,80,66,15:00,AMTS10223,2026-04-10
Iskcon - Naroda,GZ01B6107,80,36,13:00,AMTS10224,2026-04-10
Iskcon - Naroda,GZ01B4003,80,104,17:00,AMTS10225,2026-04-10
Bopal - Shivranjani,GZ01B7372,50,40,11:00,AMTS10226,2026-04-10
Bopal - Shivranjani,GZ01B3981,50,32,6:00,AMTS10227,2026-04-10
Iskcon - Naroda,GZ01B5676,80,108,9:00,AMTS10228,2026-04-10
RTO - Maninagar,GZ01B2969,80,94,18:00,AMTS10229,2026-04-10
Narol - Naroda,GZ01B9309,50,8,13:00,AMTS10230,2026-04-10
Zundal - Visat,GZ01B6532,50,29,20:00,AMTS10231,2026-04-10
RTO - Maninagar,GZ01B8778,80,38,6:00,AMTS10232,2026-04-10
RTO - Maninagar,GZ01B6220,80,31,11:00,AMTS10233,2026-04-10
Iskcon - Naroda,GZ01B8386,80,103,18:00,AMTS10234,2026-04-10
Iskcon - Naroda,GZ01B9364,80,42,14:00,AMTS10235,2026-04-10
Iskcon - Naroda,GZ01B5253,80,99,10:00,AMTS10236,2026-04-10
Bopal - Shivranjani,GZ01B2396,50,35,11:00,AMTS10237,2026-04-10
Bopal - Shivranjani,GZ01B4373,50,45,21:00,AMTS10238,2026-04-10
Narol - Naroda,GZ01B1563,50,9,13:00,AMTS10239,2026-04-10
Zundal - Visat,GZ01B3990,50,67,18:00,AMTS10240,2026-04-10
RTO - Maninagar,GZ01B4162,80,43,11:00,AMTS10241,2026-04-10
Zundal - Visat,GZ01B2123,50,23,11:00,AMTS10242,2026-04-10
Iskcon - Naroda,GZ01B6524,80,99,9:00,AMTS10243,2026-04-10
RTO - Maninagar,GZ01B8790,80,46,15:00,AMTS10244,2026-04-10
RTO - Maninagar,GZ01B3815,80,95,8:00,AMTS10245,2026-04-10
RTO - Maninagar,GZ01B8407,80,55,15:00,AMTS10246,2026-04-10
Zundal - Visat,GZ01B6656,50,36,6:00,AMTS10247,2026-04-10
Iskcon - Naroda,GZ01B7407,80,31,13:00,AMTS10248,2026-04-10
Zundal - Visat,GZ01B3107,50,74,8:00,AMTS10249,2026-04-10
Bopal - Shivranjani,GZ01B9299,50,25,12:00,AMTS10250,2026-04-10
Zundal - Visat,GZ01B6129,50,79,10:00,AMTS10251,2026-04-10
Bopal - Shivranjani,GZ01B8634,50,40,12:00,AMTS10252,2026-04-10
Iskcon - Naroda,GZ01B1219,80,66,20:00,AMTS10253,2026-04-10
Bopal - Shivranjani,GZ01B8811,50,41,10:00,AMTS10254,2026-04-10
Bopal - Shivranjani,GZ01B9801,50,35,14:00,AMTS10255,2026-04-10
Bopal - Shivranjani,GZ01B3697,50,15,11:00,AMTS10256,2026-04-10
Iskcon - Naroda,GZ01B2722,80,38,16:00,AMTS10257,2026-04-10
Bopal - Shivranjani,GZ01B9418,50,44,17:00,AMTS10258,2026-04-10
RTO - Maninagar,GZ01B7758,80,41,11:00,AMTS10259,2026-04-10
Bopal - Shivranjani,GZ01B1551,50,21,6:00,AMTS10260,2026-04-10
Bopal - Shivranjani,GZ01B9606,50,66,10:00,AMTS10261,2026-04-10
Bopal - Shivranjani,GZ01B4004,50,55,17:00,AMTS10262,2026-04-10
Iskcon - Naroda,GZ01B6980,80,61,11:00,AMTS10263,2026-04-10
Bopal - Shivranjani,GZ01B2578,50,21,12:00,AMTS10264,2026-04-10
Narol - Naroda,GZ01B9098,50,33,19:00,AMTS10265,2026-04-10
RTO - Maninagar,GZ01B4338,80,97,9:00,AMTS10266,2026-04-10
Zundal - Visat,GZ01B2015,50,20,14:00,AMTS10267,2026-04-10
Iskcon - Naroda,GZ01B1497,80,49,21:00,AMTS10268,2026-04-10
Zundal - Visat,GZ01B4124,50,37,21:00,AMTS10269,2026-04-10
Narol - Naroda,GZ01B1756,50,8,21:00,AMTS10270,2026-04-10
Narol - Naroda,GZ01B8787,50,24,10:00,AMTS10271,2026-04-10
Bopal - Shivranjani,GZ01B5513,50,73,18:00,AMTS10272,2026-04-10
Iskcon - Naroda,GZ01B7605,80,98,19:00,AMTS10273,2026-04-10
RTO - Maninagar,GZ01B1036,80,68,13:00,AMTS10274,2026-04-10
Bopal - Shivranjani,GZ01B3025,50,20,20:00,AMTS10275,2026-04-10
Zundal - Visat,GZ01B9080,50,36,16:00,AMTS10276,2026-04-10
Zundal - Visat,GZ01B7571,50,27,14:00,AMTS10277,2026-04-10
Zundal - Visat,GZ01B5839,50,35,6:00,AMTS10278,2026-04-10
Narol - Naroda,GZ01B7446,50,9,15:00,AMTS10279,2026-04-10
Bopal - Shivranjani,GZ01B8645,50,44,16:00,AMTS10280,2026-04-10
RTO - Maninagar,GZ01B5662,80,34,14:00,AMTS10281,2026-04-10
Narol - Naroda,GZ01B7969,50,26,17:00,AMTS10282,2026-04-10
Zundal - Visat,GZ01B1021,50,20,21:00,AMTS10283,2026-04-10
Iskcon - Naroda,GZ01B9111,80,96,9:00,AMTS10284,2026-04-10
Iskcon - Naroda,GZ01B6007,80,105,17:00,AMTS10285,2026-04-10
Narol - Naroda,GZ01B5843,50,33,18:00,AMTS10286,2026-04-10
Narol - Naroda,GZ01B8472,50,38,8:00,AMTS10287,2026-04-10
Iskcon - Naroda,GZ01B2840,80,48,20:00,AMTS10288,2026-04-10
Bopal - Shivranjani,GZ01B7590,50,36,15:00,AMTS10289,2026-04-10
Iskcon - Naroda,GZ01B7467,80,98,8:00,AMTS10290,2026-04-10
Zundal - Visat,GZ01B4255,50,80,19:00,AMTS10291,2026-04-10
Iskcon - Naroda,GZ01B1505,80,41,12:00,AMTS10292,2026-04-10
RTO - Maninagar,GZ01B1641,80,54,20:00,AMTS10293,2026-04-10
Zundal - Visat,GZ01B3135,50,44,19:00,AMTS10294,2026-04-10
Narol - Naroda,GZ01B8338,50,6,20:00,AMTS10295,2026-04-10
Iskcon - Naroda,GZ01B4152,80,107,18:00,AMTS10296,2026-04-10
Iskcon - Naroda,GZ01B3132,80,110,8:00,AMTS10297,2026-04-10
Narol - Naroda,GZ01B8558,50,16,16:00,AMTS10298,2026-04-10
Bopal - Shivranjani,GZ01B7148,50,15,21:00,AMTS10299,2026-04-10
RTO - Maninagar,GZ01B2680,80,50,6:00,AMTS10300,2026-04-10
RTO - Maninagar,GZ01B3386,80,107,9:00,AMTS10301,2026-04-10
Bopal - Shivranjani,GZ01B3317,50,26,12:00,AMTS10302,2026-04-10
Bopal - Shivranjani,GZ01B8093,50,80,8:00,AMTS10303,2026-04-10
Zundal - Visat,GZ01B9158,50,32,6:00,AMTS10304,2026-04-10
RTO - Maninagar,GZ01B2678,80,101,17:00,AMTS10305,2026-04-10
RTO - Maninagar,GZ01B3250,80,59,14:00,AMTS10306,2026-04-10
Narol - Naroda,GZ01B1296,50,12,6:00,AMTS10307,2026-04-10
Narol - Naroda,GZ01B4538,50,6,14:00,AMTS10308,2026-04-10
Iskcon - Naroda,GZ01B2847,80,34,21:00,AMTS10309,2026-04-10
Bopal - Shivranjani,GZ01B9234,50,32,20:00,AMTS10310,2026-04-10
Bopal - Shivranjani,GZ01B7394,50,77,8:00,AMTS10311,2026-04-10
Bopal - Shivranjani,GZ01B1923,50,23,11:00,AMTS10312,2026-04-10
Narol - Naroda,GZ01B4537,50,5,15:00,AMTS10313,2026-04-10
RTO - Maninagar,GZ01B7011,80,50,6:00,AMTS10314,2026-04-10
Narol - Naroda,GZ01B2373,50,11,13:00,AMTS10315,2026-04-10
Bopal - Shivranjani,GZ01B6746,50,18,20:00,AMTS10316,2026-04-10
Narol - Naroda,GZ01B3459,50,14,20:00,AMTS10317,2026-04-10
Zundal - Visat,GZ01B6592,50,20,6:00,AMTS10318,2026-04-10
Zundal - Visat,GZ01B2843,50,43,15:00,AMTS10319,2026-04-10
RTO - Maninagar,GZ01B6805,80,63,16:00,AMTS10320,2026-04-10
Iskcon - Naroda,GZ01B5589,80,45,21:00,AMTS10321,2026-04-10
RTO - Maninagar,GZ01B6141,80,60,7:00,AMTS10322,2026-04-10
Narol - Naroda,GZ01B1101,50,15,16:00,AMTS10323,2026-04-10
Iskcon - Naroda,GZ01B4054,80,66,16:00,AMTS10324,2026-04-10
Iskcon - Naroda,GZ01B2444,80,96,9:00,AMTS10325,2026-04-10
RTO - Maninagar,GZ01B2703,80,30,21:00,AMTS10326,2026-04-10
Bopal - Shivranjani,GZ01B6271,50,23,16:00,AMTS10327,2026-04-10
Zundal - Visat,GZ01B8794,50,44,11:00,AMTS10328,2026-04-10
Zundal - Visat,GZ01B5814,50,20,12:00,AMTS10329,2026-04-10
RTO - Maninagar,GZ01B7373,80,108,18:00,AMTS10330,2026-04-10
Bopal - Shivranjani,GZ01B6549,50,60,10:00,AMTS10331,2026-04-10
Narol - Naroda,GZ01B7920,50,19,15:00,AMTS10332,2026-04-10
Iskcon - Naroda,GZ01B2426,80,58,20:00,AMTS10333,2026-04-10
Narol - Naroda,GZ01B3387,50,30,9:00,AMTS10334,2026-04-10
Narol - Naroda,GZ01B8875,50,8,12:00,AMTS10335,2026-04-10
RTO - Maninagar,GZ01B3785,80,96,8:00,AMTS10336,2026-04-10
Zundal - Visat,GZ01B6509,50,39,14:00,AMTS10337,2026-04-10
RTO - Maninagar,GZ01B2493,80,48,15:00,AMTS10338,2026-04-10
Narol - Naroda,GZ01B3228,50,10,14:00,AMTS10339,2026-04-10
Iskcon - Naroda,GZ01B3519,80,101,17:00,AMTS10340,2026-04-10
Bopal - Shivranjani,GZ01B5898,50,27,13:00,AMTS10341,2026-04-10
RTO - Maninagar,GZ01B7890,80,32,7:00,AMTS10342,2026-04-10
Bopal - Shivranjani,GZ01B8507,50,45,11:00,AMTS10343,2026-04-10
Bopal - Shivranjani,GZ01B6853,50,34,14:00,AMTS10344,2026-04-10
